map_file,startposition,route_length_m,turns,uturns,E_gesamt_J,scanned_forest_rate,duration_sec,overlap_rate,overlap_rate_forest,temp_mean_C
map_random_1.json,0,108507.17,1012,52,2562717.8,0.393676,489.413,0.288878,0.442542,39.7
map_random_1.json,1,113795.18,963,42,2669319.0,0.377329,600.305,0.294731,0.421482,39.7
map_random_1.json,2,106981.8,1012,47,2528334.7,0.380558,501.079,0.269978,0.41647,39.7
map_random_1.json,3,112294.82,986,46,2640766.0,0.383511,547.77,0.295259,0.427389,40.25
map_random_1.json,4,110482.03,978,49,2600059.6,0.388366,548.486,0.284287,0.446204,40.25
map_random_2.json,0,114128.56,996,49,2683253.4,0.395168,621.555,0.31157,0.457006,39.7
map_random_2.json,1,106324.09,902,45,2495384.9,0.389026,509.457,0.269454,0.427603,39.95
map_random_2.json,2,115468.42,952,51,2705800.3,0.378087,641.841,0.323256,0.391045,40.5
map_random_2.json,3,114859.23,995,49,2699163.0,0.394084,671.499,0.317551,0.451333,40.25
map_random_2.json,4,114729.45,968,49,2691852.9,0.379496,640.105,0.298172,0.4285,39.95
map_random_3.json,0,106252.39,854,27,2482917.6,0.39646,563.744,0.277991,0.438051,39.7
map_random_3.json,1,107733.2,885,38,2522425.5,0.398351,576.055,0.285337,0.441645,39.95
map_random_3.json,2,115824.89,878,38,2699287.6,0.380852,651.085,0.322086,0.399118,40.25
map_random_3.json,3,110826.58,917,42,2596419.9,0.388062,567.374,0.278485,0.443973,40.25
map_random_3.json,4,111375.63,911,43,2607673.9,0.387919,573.81,0.287382,0.432134,39.95
map_californien.json,0,38117.7,166,12,867959.4,0.261383,43.33,0.203756,0.453212,40.25
map_californien.json,1,34994.47,177,6,800073.3,0.258294,42.685,0.146761,0.481163,40.5
map_californien.json,2,32635.43,149,4,743224.5,0.267367,42.264,0.139983,0.425,40.8
map_californien.json,3,37820.65,169,8,861259.3,0.242958,42.844,0.184516,0.346939,40.25
map_californien.json,4,37748.23,169,8,859666.0,0.243472,42.941,0.184906,0.346939,40.8
map_elk_fire_Colorado.json,0,92893.95,431,18,2117752.0,0.611059,80.673,0.289744,0.668386,40.8
map_elk_fire_Colorado.json,1,87110.87,415,14,1987224.0,0.655367,87.571,0.280359,0.748459,40.25
map_elk_fire_Colorado.json,2,92743.8,410,19,2111148.6,0.620075,89.179,0.28332,0.725387,40.8
map_elk_fire_Colorado.json,3,92443.44,395,21,2102395.6,0.621802,90.403,0.281517,0.726448,39.95
map_elk_fire_Colorado.json,4,92114.68,381,15,2091863.0,0.597656,90.701,0.276105,0.651163,40.2
map_havel.json,0,136478.81,429,21,3076783.7,0.888946,195.751,0.290267,0.889759,40.8
map_havel.json,1,139201.16,404,18,3132055.5,0.889137,202.242,0.298038,0.902194,40.5
map_havel.json,2,133130.35,448,10,3004437.7,0.867076,231.79,0.252722,0.877019,40.8
map_havel.json,3,134075.27,448,20,3026876.0,0.88998,192.67,0.279678,0.896954,40.8
map_havel.json,4,135300.64,409,13,3046244.1,0.876113,205.295,0.278378,0.86413,40.25
map_Kreta_1.json,0,130275.93,366,14,2928770.5,0.799322,113.145,0.300303,0.770818,40.25
map_Kreta_1.json,1,134810.56,431,16,3039587.4,0.797163,124.711,0.318074,0.78473,40.2
map_Kreta_1.json,2,118575.2,366,10,2670694.4,0.806597,114.632,0.2312,0.784076,40.25
map_Kreta_1.json,3,135347.55,433,15,3051566.0,0.783379,119.352,0.3076,0.774485,39.7
map_Kreta_1.json,4,131176.82,350,17,2946445.0,0.785205,108.997,0.292806,0.753255,40.25
map_Kreta_2.json,0,47167.4,227,12,1077117.9,0.516631,46.68,0.315758,0.674636,40.8
map_Kreta_2.json,1,40852.63,224,8,937037.9,0.482782,46.56,0.19797,0.654886,40.5
map_Kreta_2.json,2,43989.11,206,11,1003565.4,0.474057,44.756,0.21816,0.627027,40.25
map_Kreta_2.json,3,45471.53,202,11,1035518.8,0.485725,47.205,0.229539,0.693201,40.5
map_Kreta_2.json,4,43609.25,208,8,995043.5,0.47786,46.824,0.22088,0.650206,40.8
map_lee_fire_Colorado.json,0,138584.53,563,18,3144724.7,0.767192,111.284,0.267589,0.803781,40.5
map_lee_fire_Colorado.json,1,137464.91,514,20,3112338.0,0.78464,103.911,0.272186,0.820425,39.7
map_lee_fire_Colorado.json,2,139314.46,592,32,3167878.1,0.781934,122.13,0.27791,0.831783,40.5
map_lee_fire_Colorado.json,3,135497.7,530,28,3073019.4,0.781581,102.806,0.263264,0.811857,40.8
map_lee_fire_Colorado.json,4,135368.65,515,21,3066550.4,0.768656,110.874,0.253211,0.794876,40.8
map_Missen_Wilhams.json,0,93396.31,341,17,2113788.8,0.740315,145.427,0.292519,0.811862,40.8
map_Missen_Wilhams.json,1,86411.61,338,12,1958805.3,0.741575,123.099,0.237989,0.816889,40.25
map_Missen_Wilhams.json,2,86341.68,339,12,1957431.9,0.738503,119.09,0.235738,0.819794,39.95
map_Missen_Wilhams.json,3,87817.34,338,11,1989566.5,0.738078,119.153,0.243981,0.814653,41.05
map_Missen_Wilhams.json,4,87096.67,329,16,1973051.8,0.753629,126.521,0.247034,0.881138,40.8
