map_file,startposition,route_length_m,turns,uturns,E_gesamt_J,scanned_forest_rate,duration_sec,temp_mean_C
map_random_1.json,0,109881.87,993,51,2589661.2,0.382289,1115.319,38.35
map_random_1.json,1,112508.56,996,54,2648438.4,0.388423,1148.874,37.85
map_random_1.json,2,117108.49,1011,51,2751616.9,0.387648,1212.701,37.85
map_random_1.json,3,114082.97,998,52,2683075.4,0.3779,1184.395,38.6
map_random_1.json,4,113641.07,995,48,2672198.6,0.377711,1155.351,38.6
map_random_2.json,0,108901.8,959,47,2561829.7,0.393935,1058.394,39.15
map_random_2.json,1,110185.77,892,40,2577867.0,0.384481,1148.397,39.45
map_random_2.json,2,107221.07,898,39,2513468.6,0.391173,1141.008,39.2
map_random_2.json,3,113125.77,937,46,2650962.0,0.385503,1151.972,38.35
map_random_2.json,4,110693.27,997,56,2608997.0,0.385739,1150.978,37.8
map_random_3.json,0,108528.49,892,40,2541406.9,0.403515,1138.417,38.1
map_random_3.json,1,111984.52,900,32,2617439.5,0.391117,1233.059,38.65
map_random_3.json,2,106646.81,876,41,2497534.8,0.408505,1016.561,37.8
map_random_3.json,3,115332.83,924,37,2695887.2,0.38985,1291.347,37.8
map_random_3.json,4,112256.5,899,38,2624248.1,0.388763,1226.981,38.35
map_californien.json,0,36186.46,169,8,825307.1,0.266417,101.718,38.9
map_californien.json,1,36561.23,183,6,835532.1,0.24251,102.96,39.45
map_californien.json,2,35094.18,161,7,799792.0,0.266743,98.633,38.4
map_californien.json,3,31329.11,167,3,717290.4,0.283984,96.287,37.85
map_californien.json,4,34803.96,171,4,794562.1,0.275552,99.0,37.3
map_elk_fire_Colorado.json,0,86810.35,427,20,1983582.7,0.63301,281.273,38.1
map_elk_fire_Colorado.json,1,85221.02,419,21,1947462.4,0.681535,285.952,37.6
map_elk_fire_Colorado.json,2,87847.4,442,26,2009862.9,0.623336,298.883,37.3
map_elk_fire_Colorado.json,3,87425.79,419,26,1996792.4,0.609693,301.886,38.1
map_elk_fire_Colorado.json,4,88341.96,411,16,2013978.2,0.627578,299.63,38.1
map_havel.json,0,142973.58,507,19,3232208.7,0.902756,871.887,37.6
map_havel.json,1,131137.04,396,13,2952499.9,0.900752,774.527,37.85
map_havel.json,2,133747.4,403,20,3012237.9,0.86581,846.578,38.1
map_havel.json,3,133452.7,428,10,3008229.5,0.88622,784.933,38.1
map_havel.json,4,131017.56,408,11,2951521.2,0.863567,797.221,37.85
map_Kreta_1.json,0,127901.15,398,19,2882630.3,0.8203,643.275,38.65
map_Kreta_1.json,1,130632.4,417,14,2945027.8,0.799035,641.37,38.9
map_Kreta_1.json,2,130457.4,403,17,2939362.7,0.787333,619.866,38.35
map_Kreta_1.json,3,135995.49,465,17,3071430.7,0.767998,657.932,37.3
map_Kreta_1.json,4,134539.53,421,14,3031644.6,0.784712,654.847,38.1
map_Kreta_2.json,0,47684.84,199,11,1083716.4,0.496028,141.259,38.1
map_Kreta_2.json,1,45182.41,218,11,1031798.0,0.502227,145.078,38.1
map_Kreta_2.json,2,40984.69,199,10,936148.2,0.460521,138.611,37.3
map_Kreta_2.json,3,43844.84,214,11,1001711.4,0.478819,138.049,37.8
map_Kreta_2.json,4,48227.7,245,9,1102919.4,0.536059,142.764,38.6
map_lee_fire_Colorado.json,0,133746.16,546,31,3037620.4,0.784447,477.845,38.4
map_lee_fire_Colorado.json,1,137733.29,559,26,3126657.4,0.77836,487.895,38.35
map_lee_fire_Colorado.json,2,143732.99,600,25,3265250.8,0.786297,482.652,38.1
map_lee_fire_Colorado.json,3,138235.86,534,24,3133259.0,0.772756,489.064,38.1
map_lee_fire_Colorado.json,4,144415.19,547,21,3270854.2,0.774508,487.915,38.6
map_Missen_Wilhams.json,0,87344.1,349,18,1982125.3,0.753317,492.333,38.6
map_Missen_Wilhams.json,1,93112.11,361,26,2112321.5,0.77945,528.439,38.35
map_Missen_Wilhams.json,2,92811.75,350,11,2101423.5,0.731217,523.056,38.1
map_Missen_Wilhams.json,3,92174.68,376,12,2091863.0,0.702137,528.374,38.35
map_Missen_Wilhams.json,4,94286.74,397,16,2142453.4,0.735947,522.903,38.1
